Flavor,Country of Origin,Country Code,Production Country,9 Point Hedonic Scale Rating,Liked more or less
Original,Germany,DEU,BEL,6,1
Sour Cream and Onion,Germany,DEU,POL,7,0
Paprika,Germany,DEU,BEL,7,1
Texas BBQ Sauce,Germany,DEU,POL,4,0
Hot and Spicy,Austria,AUT,BEL,7,1
Hot and Spicy,Austria,AUT,BEL,6,0
Original,Austria,AUT,BEL,8,0
Original,Austria,AUT,BEL,6,1
Spicy BBQ,Germany,DEU,BEL,2,0
Spicy BBQ,Germany,DEU,BEL,4,0
Salt and Pepper,Germany,DEU,BEL,2,0
Salt and Pepper,Germany,DEU,BEL,7,1
Sweet Paprika,Germany,DEU,POL,9,1
Sweet Paprika,Germany,DEU,POL,6,0
Grilled Paprika,Germany,DEU,BEL,4,0
Grilled Paprika,Germany,DEU,BEL,3,0
Paprika,Germany,DEU,BEL,2,0
Paprika,Germany,DEU,BEL,2,0
Texas BBQ Sauce,Germany,DEU,POL,3,0
Texas BBQ Sauce,Germany,DEU,POL,3,0
Malaysian Red Curry,Germany,DEU,BEL,8,1
Malaysian Red Curry,Germany,DEU,BEL,9,1
Doner Kebab,Germany,DEU,BEL,4,0
Doner Kebab,Germany,DEU,BEL,4,0
Indian Chicken Tikka Masala,Germany,DEU,BEL,4,0
Indian Chicken Tikka Masala,Germany,DEU,BEL,5,0
Japanese BBQ Teriyaki,Germany,DEU,BEL,4.5,0
Japanese BBQ Teriyaki,Germany,DEU,BEL,5,0
Kickin Sour Cream,Germany,DEU,BEL,5,0
Kickin Sour Cream,Germany,DEU,BEL,8,1
Sour Cream and Onion,Germany,DEU,BEL,5,1
Sour Cream and Onion,Germany,DEU,BEL,7,1
Pulled Pork Burger,Germany,DEU,POL,1,0
Pulled Pork Burger,Germany,DEU,POL,3,0
Ketchup,Germany,DEU,BEL,1,0
Ketchup,Germany,DEU,BEL,6,1
Cheese and Onion,Germany,DEU,BEL,5,0
Cheese and Onion,Germany,DEU,BEL,7,1
Paprika Mexicana,Germany,DEU,BEL,7,1
Paprika Mexicana,Germany,DEU,BEL,5,0
El Nacho Cheese,Germany,DEU,BEL,4,0
El Nacho Cheese,Germany,DEU,BEL,6,1
Pizza,Germany,DEU,BEL,3,0
Pizza,Germany,DEU,BEL,4,0
Cheese and Chili,Germany,AUT,BEL,1,0
Cheese and Chili,Germany,AUT,BEL,4,0
Hot and Spicy,Germany,DEU,POL,5,0
Hot and Spicy,Germany,DEU,POL,6,1
